dataset,split,Gaussian Process,XGBoost,FFNN,3D/SI/Net,3D/MI/Bag-AttentionNet
Dopamine,SCAF_05,0.1668275373306204,0.09014953410588801,0.12165439624820562,-0.25,0.48
Dopamine,SCAF_06,0.32255279614748245,0.17440729903771113,0.21448158350473512,-0.65,-0.06
Dopamine,SCAF_07,0.2058309065674776,0.005123457867402648,0.1279675563146231,-0.15,-0.04
Dopamine,SCAF_08,0.2890544597223178,0.1089332690710395,0.3229885205655244,-0.99,0.05
Dopamine,SCAF_09,0.18596509292365535,0.14291122726456018,-0.04810818867700917,-0.24,0.18
Ephrin,SCAF_00,0.33335623227894184,0.21714981279313827,0.1768613601219856,-0.03,0.04
Ephrin,SCAF_01,0.5504012223164431,0.5251976984026958,0.4836251034148618,-0.07,0.05
Ephrin,SCAF_02,0.6043556469501985,0.5288327714889192,0.5302169255811745,-0.11,0.23
Ephrin,SCAF_03,0.35571091052544435,0.2973392125834141,0.2519342086338625,-0.06,0.13
Ephrin,SCAF_04,0.3850693277863635,0.24700538731636254,0.3615332332567828,0.01,0.22
Ephrin,SCAF_05,0.478225383973581,0.4035272080871712,0.28702897802219063,0.03,0.15
Ephrin,SCAF_06,0.4972988831835126,0.2552873295257887,0.39254239751122144,-0.08,0.15
Ephrin,SCAF_07,0.4527619218473715,0.4026746548921032,0.3681079237070489,-0.03,0.05
Ephrin,SCAF_08,0.5329702553400087,0.5037941258792025,0.3657677226212458,-0.12,0.02
Ephrin,SCAF_09,0.4922023789680536,0.3942316917554077,0.4928222521885754,0.01,0.19
Estrogen,SCAF_00,0.6937110507363691,0.6090308394033055,0.6271941041872173,0.39,0.5
Estrogen,SCAF_01,0.7299685958496802,0.6945365775872063,0.7135484892041519,0.44,0.59
Estrogen,SCAF_02,0.717755959124145,0.6781322918991546,0.7137695404072073,0.34,0.6
Estrogen,SCAF_03,0.7522891917001262,0.7490511142796562,0.7635227164261431,0.24,0.43
Estrogen,SCAF_04,0.7529451576854523,0.6910270153307129,0.61884108473517,0.29,0.55
Estrogen,SCAF_05,0.7929195204847089,0.7244209306021767,0.7690232240768363,0.37,0.58
Estrogen,SCAF_06,0.7559636548265002,0.7061652758696705,0.7353241775166905,0.4,0.52
Estrogen,SCAF_07,0.7191228094216666,0.6936195074980621,0.7200535251967096,0.44,0.62
Estrogen,SCAF_08,0.6542642330217615,0.5543112307967981,0.5344851978767674,0.47,0.61
Estrogen,SCAF_09,0.5736217452783067,0.5471541901753401,0.5068843896007806,0.27,0.58
Glycogen,SCAF_00,0.4512535318527814,0.2965655492960938,0.35316284548693344,-0.11,0.25
Glycogen,SCAF_01,0.34015143211622,0.2367803772529584,0.19356427398806675,-0.04,0.17
Glycogen,SCAF_02,0.4394257598707045,0.2949804971396951,0.349040333910462,-0.43,0.12
Glycogen,SCAF_03,0.4516976197652005,0.4374585376942335,0.3134242873131967,-0.12,0.33
Glycogen,SCAF_04,0.33626469445209395,0.09181992097307934,0.268634706735965,-0.08,0.24
Glycogen,SCAF_05,0.4602235590916052,0.3623047480957149,0.3865249901976633,-0.37,0.25
Glycogen,SCAF_06,0.4627067619046298,0.3137142129465339,0.3903242097209947,-0.16,0.1
Glycogen,SCAF_07,0.4594355680504518,0.3982573320851611,0.4176295573891152,-0.18,0.23
Glycogen,SCAF_08,0.3616331029238203,0.2875082066988319,0.1993517805083765,-0.17,0.21
Glycogen,SCAF_09,0.3480110139776588,0.3551069892093868,0.22478552572994048,-0.13,0.18
HERG,SCAF_00,0.39344900386383175,0.3181426908118933,0.3163202303417769,-0.07,0.16
HERG,SCAF_01,0.5358646555551874,0.4830756564756141,0.4325667182529579,-0.03,0.31
HERG,SCAF_02,0.4734753503197337,0.40654993020424,0.3693557917494332,-0.06,0.37
HERG,SCAF_03,0.527426681813543,0.43130519007088586,0.4629788958442623,-0.05,0.22
HERG,SCAF_04,0.4393334380424044,0.33180929415622995,0.3201507694351383,-0.09,0.18
HERG,SCAF_05,0.4140993465053748,0.32887887529484083,0.3630188660762619,-0.02,0.25
HERG,SCAF_06,0.5128294691134859,0.5038868920845752,0.3942493991281771,-0.06,0.25
HERG,SCAF_07,0.4604570188232524,0.4033860897615335,0.4082814846392521,-0.02,0.25
HERG,SCAF_08,0.4876651508510892,0.3928305378256659,0.4054430350455621,-0.07,0.16
HERG,SCAF_09,0.4455921097692965,0.31239740657208404,0.3819045498232239,-0.04,0.3
JAK2,SCAF_00,0.6865498493966515,0.6576831403667359,0.675537973477218,0.3,0.46
JAK2,SCAF_01,0.5845486632144374,0.5474261881857798,0.5924386016714265,0.24,0.5
JAK2,SCAF_02,0.5928225440644805,0.476199752276446,0.5403728327490667,0.34,0.56
JAK2,SCAF_03,0.5580913791478563,0.4911062858570766,0.492333777630978,0.29,0.46
JAK2,SCAF_04,0.6626914413619023,0.6149043727910346,0.6580593635363667,0.31,0.56
JAK2,SCAF_05,0.6390808528544693,0.5972385595820368,0.6195658713010102,0.27,0.36
JAK2,SCAF_06,0.5686359565442549,0.4579384102795915,0.5600307542089138,0.26,0.48
JAK2,SCAF_07,0.5622935505334454,0.513050549549245,0.5185205791209149,0.21,0.4
JAK2,SCAF_08,0.6416854093456734,0.5588387296306407,0.6157537482944053,0.3,0.58
JAK2,SCAF_09,0.6656650475691921,0.6145476873328385,0.6170758556458527,0.38,0.51
LCK,SCAF_00,0.4642197793154183,0.3659309876111703,0.457050132050217,0.15,0.32
LCK,SCAF_01,0.3427348989835145,0.1913577744933943,0.2370395186031248,-0.09,0.11
LCK,SCAF_02,0.5387566751313717,0.4608321595600696,0.5365490194743809,0.17,0.44
LCK,SCAF_03,0.423567360003983,0.4310034361999312,0.31372397875498714,-0.02,0.13
LCK,SCAF_04,0.5054712515781334,0.4658429416752631,0.4827274127474942,0.04,0.12
LCK,SCAF_05,0.5272343911221521,0.4518128411638901,0.4984929112138318,0.07,0.24
LCK,SCAF_06,0.50648632013582,0.3763791027564485,0.4300146336135616,0.15,0.27
LCK,SCAF_07,0.39538356575329214,0.2276995524663792,0.1606460273725646,-0.08,-0.05
LCK,SCAF_08,0.4758090394243747,0.4465786338654948,0.4190256245521709,-0.12,0.1
LCK,SCAF_09,0.2170588607408518,0.05177782002299836,0.06825752252238547,0.02,0.28
Monoamine,SCAF_00,0.2958779414043332,0.15313966359209275,0.058216754698234174,-0.09,0.28
Monoamine,SCAF_01,0.32750536942472985,0.2531464591716921,0.12766854215980994,-0.01,0.41
Monoamine,SCAF_02,0.5006251855219748,0.4394364374631488,0.2989736007478149,-0.15,0.27
Monoamine,SCAF_03,0.5967369013377397,0.5259005298610764,0.3797492192119861,0.05,0.2
Monoamine,SCAF_04,0.20630273872187266,0.20437171533839527,0.1670560927502167,0.11,-0.04
Monoamine,SCAF_05,0.447873914012658,0.2833031620194256,0.31209410474639554,-0.11,-0.09
Monoamine,SCAF_06,0.4280928121217267,0.39807262480452543,0.2721377064084293,-0.01,0.1
Monoamine,SCAF_07,0.3294815712309108,0.23388643614318286,0.2668717739008977,-0.07,0.12
Monoamine,SCAF_08,0.3743024675071081,0.3128817294362398,0.27018557370539165,0.01,0.11
Monoamine,SCAF_09,0.1190326824812259,0.09215215995973358,-0.05092408417680483,0.06,0.38
Vanilloid,SCAF_00,0.40710051136108505,0.3779271295737043,0.31806907043176724,0.07,0.09
Vanilloid,SCAF_01,0.3687684359663811,0.3121711603934021,0.2258544984961286,0.02,0.28
Vanilloid,SCAF_02,0.4311123087233905,0.3613186481876856,0.3197600515370725,0.2,0.17
Vanilloid,SCAF_03,0.43290789269436897,0.2560991704238861,0.271932308533549,0.01,0.13
Vanilloid,SCAF_04,0.3460954873823806,0.2742273824954517,0.19154727325639295,0.14,0.21
Vanilloid,SCAF_05,0.3821547754151229,0.29851014801454223,0.2932575753320549,-0.15,-0.07
Vanilloid,SCAF_06,0.25460317605348026,0.14664154081437394,0.07748697344168598,-0.13,0.07
Vanilloid,SCAF_07,0.27027311866702985,0.1503865838374817,0.1450199102569084,-0.23,-0.11
Vanilloid,SCAF_08,0.28685169266508936,0.18193207567156575,0.0988160203341556,-0.03,0.1
Vanilloid,SCAF_09,0.3567136695869936,0.14489336495188487,0.17294693431303745,0.02,0.06
erbB1,SCAF_00,0.6926153896805818,0.6392349062900946,0.6635129038834497,0.27,0.41
erbB1,SCAF_01,0.5356781240952826,0.4924827527820066,0.4430430194204684,0.22,0.32
erbB1,SCAF_02,0.5402895342535403,0.4976874131898318,0.4891454191331222,0.25,0.31
erbB1,SCAF_03,0.5797488245273803,0.5112044127949009,0.4885302170092633,0.18,0.34
erbB1,SCAF_04,0.5955511294902334,0.5730114842990455,0.5153567965244619,0.3,0.42
erbB1,SCAF_05,0.6163395095584789,0.5419062245727247,0.5900147096389546,0.26,0.35
erbB1,SCAF_06,0.582472484684069,0.5451129189919025,0.4876222543826049,0.3,0.4
erbB1,SCAF_07,0.5851647496149446,0.5170756239978792,0.5399050252316691,0.33,0.37
erbB1,SCAF_08,0.5926423259334286,0.5536933568080356,0.5069620627521907,0.18,0.41
erbB1,SCAF_09,0.6589594692508038,0.627869756725902,0.5636017467702737,0.21,0.35
opioid,SCAF_00,0.6932537569809705,0.6331327716121988,0.6095449103873626,0.38,0.52
opioid,SCAF_01,0.6560304553147488,0.6326564360181121,0.6688965615524691,0.2,0.25
opioid,SCAF_02,0.6471467743807202,0.5633800933187749,0.6373729167125257,0.39,0.45
opioid,SCAF_03,0.5848885624250564,0.4499443981665079,0.5220176362883533,0.31,0.46
opioid,SCAF_04,0.6722301500456576,0.6648433405682777,0.6419068518736556,0.17,0.49
opioid,SCAF_05,0.6406666374934193,0.5206606523588617,0.6039404643112087,0.24,0.35
opioid,SCAF_06,0.7844243144534984,0.6034361540913511,0.7091078624979543,0.14,0.44
opioid,SCAF_07,0.6402383206483703,0.5578891931363146,0.5665747651572846,0.07,0.39
opioid,SCAF_08,0.5899453129242167,0.5128270354198975,0.4746357216226969,0.23,0.48
opioid,SCAF_09,0.5940543009277748,0.468994340208373,0.5379225759820103,0.5,0.54
